id,country,latitude,longitude,region,continent,population,hf_scorec,life_expectancy_women,life_expectancy_men
1,Afghanistan,33.93911,67.709953,SouthernAsia,Asia,35530,161,49,49
2,Albania,41.153332,20.168331,SouthernEurope,Europe,2930,38,80,74
3,Algeria,28.033886,1.659626,NorthernAfrica,Africa,41318,155,75,72
4,Angola,-11.202692,17.873887,MiddleAfrica,Africa,29784,151,53,50
5,Argentina,-38.416097,-63.616672,SouthAmerica,America,44271,77,80,72
6,Armenia,40.069099,45.038189,WesternAsia,Asia,2930,54,77,71
7,Australia,-25.274398,133.775136,Oceania,Oceania,24451,5,84,80
8,Austria,47.516231,14.550072,WesternEurope,Europe,8736,13,84,78
9,Azerbaijan,40.143105,47.576927,WesternAsia,Asia,9828,121,74,68
10,Bahrain,25.930414,50.637772,WesternAsia,Asia,1493,95,76,75
11,Bangladesh,23.684994,90.356331,SouthernAsia,Asia,164670,138,70,69
12,Belarus,53.709807,27.953389,EasternEurope,Europe,9468,92,76,65
13,Belgium,50.503887,4.469936,WesternEurope,Europe,11429,23,83,77
14,Belize,17.189877,-88.49765,CentralAmerica,America,375,68,78,75
15,Benin,9.30769,2.315834,WesternAfrica,Africa,11176,85,59,55
16,Bolivia (Plurinational State of),-16.290154,-63.588653,SouthAmerica,America,11052,97,69,65
17,Bosnia and Herzegovina,43.915886,17.679076,SouthernEurope,Europe,3507,55,78,73
18,Botswana,-22.328474,24.684866,SouthernAfrica,Africa,2292,60,51,54
19,Brazil,-14.235004,-51.92528,SouthAmerica,America,209288,109,77,71
20,Bulgaria,42.733883,25.48583,EasternEurope,Europe,7085,39,77,70
21,Burkina Faso,12.238333,-1.561593,WesternAfrica,Africa,19193,90,57,55
22,Burundi,-3.373056,29.918886,EasternAfrica,Africa,10864,145,53,50
23,Cambodia,11.5624504,104.916008,South-easternAsia,Asia,16005,63,65,62
24,Cameroon,7.369722,12.354722,MiddleAfrica,Africa,24054,143,54,51
25,Canada,56.130366,-106.346771,NorthernAmerica,America,36624,4,83,79
26,Central African Rep.,6.611111,20.939444,MiddleAfrica,Africa,4659,140,51,48
27,Chad,15.454166,18.732207,MiddleAfrica,Africa,14900,147,52,49
28,Chile,-35.675147,-71.542969,SouthAmerica,America,18055,28,82,76
29,China,35.86166,104.195397,EasternAsia,Asia,1409517,126,76,72
30,Hong Kong SAR,22.396428,114.109497,EasternAsia,Asia,1106,3,86,80
31,Colombia,4.570868,-74.297333,SouthAmerica,America,49066,71,78,70
32,Comoros,-11.875001,43.872219,EasternAfrica,Africa,814,94,63,60
33,Congo,-0.228021,15.827659,MiddleAfrica,Africa,5261,137,59,57
34,Costa Rica,9.748917,-83.753428,CentralAmerica,America,4906,43,82,77
35,Côte d'Ivoire,7.539989,-5.54708,EasternAfrica,Africa,24290,101,58,55
36,Croatia,45.1,15.2,SouthernEurope,Europe,4189,37,80,73
37,Cuba,21.521757,-77.781167,Caribbean,America,11485,158,81,77
38,Cyprus,35.126413,33.429859,WesternAsia,Asia,1180,36,82,78
39,Czech Rep.,49.817492,15.472962,EasternEurope,Europe,10618,21,81,75
40,Dem. Rep. of the Congo,-4.038333,21.758664,MiddleAfrica,Africa,81340,152,51,47
41,Denmark,56.26392,9.501785,NorthernEurope,Europe,5734,6,81,77
42,Djibouti,11.825138,42.590275,EasternAfrica,Africa,957,87,60,57
43,Ecuador,-1.831239,-78.183406,SouthAmerica,America,16625,82,79,73
44,Egypt,26.820553,30.802498,NorthernAfrica,Africa,97553,157,76,72
45,El Salvador,13.794185,-88.89653,CentralAmerica,America,6378,75,77,68
46,Eritrea,15.179384,39.782334,EasternAfrica,Africa,5069,134,64,60
47,Estonia,58.595272,25.013607,NorthernEurope,Europe,1310,15,80,70
48,Ethiopia,9.145,40.489673,EasternAfrica,Africa,104957,153,62,58
49,Finland,61.92411,25.748151,NorthernEurope,Europe,5523,8,83,77
50,France,46.227638,2.213749,WesternEurope,Europe,64980,33,85,78
51,Gabon,-0.803689,11.609444,MiddleAfrica,Africa,2025,132,64,62
52,Gambia,13.443182,-15.310139,WesternAfrica,Africa,2101,135,60,58
53,Georgia,42.315407,43.356892,WesternAsia,Asia,3912,41,77,71
54,Germany,51.165691,10.451526,WesternEurope,Europe,82114,8,83,78
55,Ghana,7.946527,-1.023194,WesternAfrica,Africa,28834,70,66,64
56,Greece,39.074208,21.824312,SouthernEurope,Europe,11160,57,83,78
57,Guatemala,15.783471,-90.230759,CentralAmerica,America,16914,65,75,68
58,Guinea,9.945587,-9.696645,WesternAfrica,Africa,12717,144,56,53
59,Guinea-Bissau,11.803749,-15.180413,WesternAfrica,Africa,1861,130,50,47
60,Honduras,15.199999,-86.241905,CentralAmerica,America,9265,84,76,71
61,Hungary,47.162494,19.503304,EasternEurope,Europe,9722,45,78,71
62,Iceland,64.963051,-19.020835,NorthernEurope,Europe,335,18,84,80
63,India,20.593684,78.96288,SouthernAsia,Asia,1339180,94,68,64
64,Indonesia,-0.789275,113.921327,South-easternAsia,Asia,263991,81,72,68
65,Iran (Islamic Rep. of),32.427908,53.688046,SouthernAsia,Asia,81163,154,75,72
66,Iraq,33.223191,43.679291,WesternAsia,Asia,38275,158,73,68
67,Ireland,53.41291,-8.24389,NorthernEurope,Europe,4762,10,83,78
68,Israel,31.046051,34.851612,WesternAsia,Asia,8322,46,84,80
69,Italy,41.87194,12.56738,SouthernEurope,Europe,59360,32,85,79
70,Japan,36.204824,138.252924,EasternAsia,Asia,127484,25,87,80
71,Jordan,30.585164,36.238414,WesternAsia,Asia,9702,80,75,72
72,Kazakhstan,48.019573,66.923684,CentralAsia,Asia,18204,73,73,62
73,Kenya,-0.023559,37.906193,EasternAfrica,Africa,49700,79,59,57
74,Kuwait,29.31166,47.481766,WesternAsia,Asia,4136,124,76,74
75,Kyrgyzstan,41.20438,74.766098,CentralAsia,Asia,6045,67,72,64
76,Latvia,56.879635,24.603189,NorthernEurope,Europe,1950,23,79,69
77,Lebanon,33.854721,35.862285,WesternAsia,Asia,6082,88,75,71
78,Lesotho,-29.609988,28.233608,SouthernAfrica,Africa,2233,104,48,50
79,Liberia,6.428055,-9.429499,WesternAfrica,Africa,4732,113,59,56
80,Libya,26.3351,17.228331,NorthernAfrica,Africa,6375,156,78,73
81,Liechtenstein,47.166,9.555373,WesternEurope,Europe,38,16,83,78
82,Lithuania,55.169438,23.881275,NorthernEurope,Europe,2890,22,78,67
83,Luxembourg,49.815273,6.129583,WesternEurope,Europe,584,6,83,78
84,Madagascar,-18.766947,46.869107,EasternAfrica,Africa,25571,115,69,65
85,Malawi,-13.254308,34.301525,EasternAfrica,Africa,18622,99,55,55
86,Malaysia,4.210484,101.975766,South-easternAsia,Asia,31624,106,77,73
87,Mali,17.570692,-3.996166,WesternAfrica,Africa,18542,131,53,51
88,Malta,35.937496,14.375416,SouthernEurope,Europe,431,20,82,78
89,Mauritania,21.00789,-10.940835,WesternAfrica,Africa,4420,146,61,57
90,Mauritius,-20.348404,57.552152,EasternAfrica,Africa,1265,50,77,70
91,Mexico,23.634501,-102.552784,CentralAmerica,America,129163,92,80,75
92,Morocco,31.791702,-7.09262,NorthernAfrica,Africa,35740,125,75,70
93,Mozambique,-18.665695,35.529562,EasternAfrica,Africa,29669,120,52,50
94,Namibia,-22.95764,18.49041,SouthernAfrica,Africa,2534,87,63,62
95,Nepal,28.394857,84.124008,SouthernAsia,Asia,29305,107,70,68
96,Netherlands,52.132633,5.291266,WesternEurope,Europe,17036,11,83,79
97,New Zealand,-40.900557,174.885971,Oceania,Oceania,4706,1,83,79
98,Nicaragua,12.865416,-85.207229,CentralAmerica,America,6218,77,77,71
99,Niger,17.607789,8.081666,WesternAfrica,Africa,21477,136,56,55
100,Nigeria,9.081999,8.675277,WesternAfrica,Africa,190886,112,53,52
101,Norway,60.472024,8.468946,NorthernEurope,Europe,5305,17,83,79
102,Oman,21.512583,55.923255,WesternAsia,Asia,4636,134,76,71
103,Pakistan,30.375321,69.345116,SouthernAsia,Asia,197016,140,67,65
104,Panama,8.537981,-80.782127,CentralAmerica,America,2890,44,79,74
105,Papua New Guinea,-6.314993,143.95555,CentralAmerica,America,4099,99,66,61
106,Paraguay,-23.442503,-58.443832,SouthAmerica,America,8251,73,75,71
107,Peru,-9.189967,-75.015152,SouthAmerica,America,6811,49,77,72
108,Philippines,12.879721,121.774017,SouthAmerica,America,32166,76,73,66
109,Poland,51.919438,19.145136,EasternEurope,Europe,38171,40,81,72
110,Portugal,39.399872,-8.224454,SouthernEurope,Europe,10330,26,83,77
111,Qatar,25.354826,51.183884,WesternAsia,Asia,2639,127,78,79
112,Rep. of Korea,35.907757,127.766922,EasternAsia,Asia,50982,27,84,77
113,Rep. of Moldova,47.411631,28.369885,EasternEurope,Europe,4051,71,73,66
114,Romania,45.943161,24.96676,EasternEurope,Europe,19679,30,78,71
115,Russian Federation,61.52401,105.318756,EasternEurope,Europe,143990,114,75,63
116,Rwanda,-1.940278,29.873888,EasternAfrica,Africa,12208,82,57,54
117,Saudi Arabia,23.885942,45.079162,WesternAsia,Asia,32938,149,76,73
118,Senegal,14.497401,-14.452362,WesternAfrica,Africa,15851,102,61,59
119,Serbia and Kosovo (S/RES/1244 (1999)),44.016521,21.005859,SouthernEurope,Europe,8791,58,77,72
120,Sierra Leone,8.460555,-11.779889,WesternAfrica,Africa,7557,132,49,48
121,Singapore,1.352083,103.819836,South-easternAsia,Asia,5709,30,84,79
122,Slovakia,48.669026,19.699024,EasternEurope,Europe,5448,33,80,72
123,Slovenia,46.151241,14.995463,SouthernEurope,Europe,2080,35,83,76
124,Somalia,5.152149,46.199616,EasternAfrica,Africa,14742,150,53,50
125,South Africa,-30.559482,22.937506,SouthernAfrica,Africa,56717,64,54,53
126,Spain,40.463667,-3.74922,SouthernEurope,Europe,46354,29,85,79
127,Sri Lanka,7.873054,80.771797,SouthernAsia,Asia,20877,110,78,72
128,Sudan,12.862807,30.217636,NorthernAfrica,Africa,40533,159,64,60
129,Swaziland,-26.522503,31.465866,SouthernAfrica,Africa,1367,111,49,50
130,Sweden,60.128161,18.643501,NorthernEurope,Europe,9911,14,84,80
131,Switzerland,46.818188,8.227512,WesternEurope,Europe,8476,2,85,80
132,Syrian Arab Rep.,34.802075,38.996815,WesternAsia,Asia,18270,162,78,74
133,Tajikistan,38.861034,71.276093,CentralAsia,Asia,8921,133,71,65
134,Thailand,15.870032,100.992541,South-easternAsia,Asia,69038,105,77,73
135,The former Yugoslav Republic of Macedonia,41.6086,21.7432,SouthernEurope,Europe,2083,56,78,71
136,Timor-Leste,-8.874217,125.727539,South-easternAsia,Asia,1296,108,64,62
137,Togo,8.619543,0.824782,WesternAfrica,Africa,7798,110,59,56
138,Tunisia,33.886917,9.537499,NorthernAfrica,Africa,11532,125,77,73
139,Turkey,38.963745,35.243322,WesternAsia,Asia,80745,114,77,72
140,Turkmenistan,38.969719,59.556278,CentralAsia,Asia,5758,101,69,61
141,Uganda,1.373333,32.290275,EasternAfrica,Africa,42863,88,55,54
142,Ukraine,48.379433,31.16558,EasternEurope,Europe,44223,122,75,64
143,United Arab Emirates,23.424076,53.847818,WesternAsia,Asia,9400,114,78,76
144,United Kingdom,55.378051,-3.435973,NorthernEurope,Europe,66182,9,82,78
145,United Rep. of Tanzania,-6.369028,34.888822,EasternAfrica,Africa,57310,110,60,58
146,United States of America,37.09024,-95.712891,NorthernAmerica,America,324460,17,81,76
147,Uruguay,-32.522779,-55.765835,SouthAmerica,America,3457,48,81,74
148,Uzbekistan,41.377491,64.585262,CentralAsia,Asia,31911,149,72,66
149,Various,-40.900557,174.885971,Oceania,Oceania,,1,83,79
150,Venezuela (Bolivarian Republic of),6.42375,-66.58973,SouthAmerica,America,31977,161,78,72
151,Viet Nam,14.058324,108.277199,South-easternAsia,Asia,95541,128,77,73
152,Yemen,15.552727,48.516388,WesternAsia,Asia,28250,160,68,65
153,Zambia,-13.133897,27.849332,EasternAfrica,Africa,17094,109,50,49
154,Zimbabwe,-19.015438,29.154857,EasternAfrica,Africa,16530,138,53,54
155,Cabo Verde,16.002082,-24.013197,WesternAfrica,Africa,546,52,78,71
156,Mongolia,46.862496,103.846656,EasternAsia,Asia,3076,46,73,65
157,Myanmar,21.913965,95.956223,South-easternAsia,Asia,53371,148,68,64
158,Fiji,-16.578193,179.414413,Melanesia,Oceania,906,60,72,67
159,Micronesia ,7.425554,150.550812,Micronesia,Asia,106,56,70,68
160,Montenegro,42.708678,19.37439,SouthernEurope,Europe,629,53,77,73
161,Antigua and Barbuda,17.060816,-61.796428,Caribbean,America,102,59,81,77
162,Haiti,18.971187,-72.285215,Caribbean,America,10981,91,64,61
163,Saint Lucia,13.909444,-60.978893,Caribbean,America,179,59,78,72
164,Suriname,3.919305,-56.027783,SouthAmerica,America,563,59,74,68
165,Trinidad and Tobago,10.691803,-61.222503,Caribbean,America,1369,96,74,67
166,Vanuatu,-15.376706,166.959158,Melanesia,Oceania,276,54,74,70
167,British Virgin Islands,18.420695,-64.639968,Caribbean,America,31,20,83,77
168,Cayman Islands,19.513469,-80.566956,Caribbean,America,62,20,84,76
169,Macao SAR,22.1634178,113.5629425,South-easternAsia,Asia,30,86,84,79
170,Jamaica,18.109581,-77.297508,Caribbean,America,2890,62,76,71
171,Palau,7.51498,134.58252,Micronesia,Asia,22,88,72,66
172,Saint Vincent and the Grenadines,13.252818,-61.197096,Caribbean,America,110,96,75,70
173,Aruba,12.52111,-69.968338,Caribbean,America,105,48,78,73
174,Bahamas,25.03428,-77.39628,Caribbean,America,395,50,79,73
175,Bonaire,12.1683718,-68.308183, Sint Eustatius and Saba,America,-99,50,73,79
176,Brunei Darussalam,4.535277,114.727669,South-easternAsia,Asia,429,140,81,76
177,Curaçao,12.2135221,-68.9495816,Caribbean,America,161,56,77,77
178,Dominican Rep.,18.735693,-70.162651,Caribbean,America,10767,68,77,71
179,Grenada,12.262776,-61.604171,Caribbean,America,108,63,78,74
180,Guyana,4.860416,-58.93018,SouthAmerica,America,778,88,73,67
181,Monaco,43.750298,7.412841,WesternEurope,Europe,39,8,83,81
182,Montserrat,16.742498,-62.187366,Caribbean,America,5,45,76,73
183,Sint Maarten (Dutch part),18.0347188,-63.0681114,Caribbean,America,40,46,69,70
184,Tonga,-21.178986,-175.198242,Polynesia,Oceania,108,111,75,70
185,South Sudan,7.8626845,29.6949232,EasternAfrica,Africa,12576,158,64,60
186,Barbados,13.193887,-59.543198,Caribbean,America,286,66,80,74
187,Nauru,-0.522778,166.931503,Micronesia,Asia,11,87,57,55
188,Saint Kitts and Nevis,17.357822,-62.782998,Caribbean,America,55,84,71,68
189,Solomon Islands,-9.64571,160.156194,Melanesia,Oceania,611,81,70,67
190,Turks and Caicos Islands,21.70818886,-71.9721177,Caribbean,America,35,73,77,79
191,Anguilla,18.220554,-63.068615,Caribbean,America,15,72,81,77
192,Dem. People's Rep. of Korea,40.3424611,127.4310054,EasternAsia,Asia,25491,160,72,66
193,Samoa,-13.759,-172.1046,Polynesia,Oceania,196,39,76,70
194,Seychelles,-4.679574,55.491977,EasternAfrica,Africa,95,62,78,68
195,Curacao,12.2135221,-68.9495816,Caribbean,America,161,56,77,77
196,Palestinian,31.952162,35.233154,WesternAsia,Asia,5052,143,75,72
197,Western Sahara,24.215527,-12.885834,NorthernAfrica,Africa,553,138,70,66
198,Lao People's Dem. Rep.,19.85627,102.495496,South-easternAsia,Asia,6858,123,69,66
199,Bhutan,27.514162,90.433601,SouthernAsia,Asia,808,105,70,66
200,Maldives,3.202778,73.22068,SouthernAsia,Asia,436,77,79,76
201,Stateless,-13.759,-172.1046,Oceania,Oceania,196,39,76,70
202,Tuvalu,-7.109535,177.64933,Polynesia,Oceania,11,69,65,62
203,Equatorial Guinea,1.650801,10.267895,MiddleAfrica,Africa,1268,137,53,50
204,Bermuda,32.321384,-64.75737,NorthernAmerica,America,61,41,82,77
205,Dominica,15.414999,-61.370976,Caribbean,America,74,68,78,74
206,Sao Tome and Principe,0.33654,6.72732,MiddleAfrica,Africa,204,56,66,64
207,Tibetan,28.717,91.717,WesternAsia,Asia,6500,89,50,56
208,Andorra,42.546245,1.601554,SouthernEurope,Europe,77,29,85,79
209,San Marino,43.94236,12.457777,SouthernEurope,Europe,33,29,85,78
210,Kiribati,-3.370417,-168.734039,Micronesia,Asia,116,71,63,59
211,Gibraltar,36.137741,-5.345374,SouthernEurope,Europe,35,61,83,79
212,Marshall Islands,7.131474,171.184478,Micronesia,Asia,53,19,71,67
213,French Polynesia,-17.679742,-149.406843,Polynesia,Oceania,283,16,78,73
214,Niue,-19.0542682,-169.8620867,Polynesia,Oceania,2,57,76,67
215,Holy See (the),41.9029,12.45266486,SouthernEurope,Europe,1,39,85,79
216,New Caledonia,-21.5,165.5,Melanesia,Oceania,276,93,80,74
217,French Guiana,3.9332383,-53.0875742,SouthAmerica,America,283,73,81,73
218,Cook Islands,-21.2357745,-159.7777595,Polynesia,Oceania,17,90,76,70
219,Norfolk Island,-29.0328267,167.9543925,Oceania,Oceania,2169,31,80,74
220,Wallis and Futuna Islands ,-14.2938,178.1165,Polynesia,Oceania,12,97,76,73
221,Guadeloupe,16.265,-61.551,Caribbean,America,450,108,84,76
222,Saint-Pierre-et-Miquelon,46.8852,56.3159,NorthernAmerica,America,6,99,79,73
223,Svalbard and Jan Mayen,79.004959,17.666016,NorthernEurope,Europe,2,99,73,73
224,American Samoa,-14.217,170.1322,NorthernAfrica,Africa,553,19,76,69
